ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-06,96685.73531964306,90435.54660871037,102636.47873447572,96685.73531964306,96685.73531964306,40.4040730864002,40.4040730864002,40.4040730864002,40.4040730864002,40.4040730864002,40.4040730864002,0.0,0.0,0.0,96726.13939272947
2025-05-07,97020.40621995836,91365.74883775564,103822.78948112026,97020.40621995836,97020.40621995836,447.2722929284079,447.2722929284079,447.2722929284079,447.2722929284079,447.2722929284079,447.2722929284079,0.0,0.0,0.0,97467.67851288676
2025-05-09,97689.74802058893,91716.41498909045,104060.01363745943,97689.74802058893,97689.74802058893,76.38119446627331,76.38119446627331,76.38119446627331,76.38119446627331,76.38119446627331,76.38119446627331,0.0,0.0,0.0,97766.1292150552
2025-05-10,98024.41892090421,91063.23169560907,103644.71914387046,98024.41892090421,98024.41892090421,-448.2631358817393,-448.2631358817393,-448.2631358817393,-448.2631358817393,-448.2631358817393,-448.2631358817393,0.0,0.0,0.0,97576.15578502246
2025-05-11,98359.0898212195,91932.70540090751,104369.2591475452,98359.0898212195,98359.0898212195,-209.4248242650126,-209.4248242650126,-209.4248242650126,-209.4248242650126,-209.4248242650126,-209.4248242650126,0.0,0.0,0.0,98149.6649969545
2025-05-12,98693.76072153478,92212.48553096525,105318.86102893221,98693.76072153478,98693.76072153478,19.775389290117683,19.775389290117683,19.775389290117683,19.775389290117683,19.775389290117683,19.775389290117683,0.0,0.0,0.0,98713.5361108249
2025-05-13,99028.43162185008,93164.55793972297,105383.50093104337,99028.43162185008,99028.43162185008,40.40407308727792,40.40407308727792,40.40407308727792,40.40407308727792,40.40407308727792,40.40407308727792,0.0,0.0,0.0,99068.83569493736
2025-05-14,99351.23665694994,93571.19178415556,105821.60604164652,99351.23665694994,99351.23665694994,447.2722929286016,447.2722929286016,447.2722929286016,447.2722929286016,447.2722929286016,447.2722929286016,0.0,0.0,0.0,99798.50894987854
2025-05-15,99674.04169204982,93507.69359157544,106436.13298304971,99674.04169204982,99674.04169204982,73.85501037436737,73.85501037436737,73.85501037436737,73.85501037436737,73.85501037436737,73.85501037436737,0.0,0.0,0.0,99747.89670242419
2025-05-16,99996.84672714972,94091.16615222993,106332.72975599195,99996.84672714972,99996.84672714972,76.38119446586904,76.38119446586904,76.38119446586904,76.38119446586904,76.38119446586904,76.38119446586904,0.0,0.0,0.0,100073.22792161559
2025-05-17,100319.65176224959,93759.73629013241,105746.49475887486,100319.65176224959,100319.65176224959,-448.2631358815746,-448.2631358815746,-448.2631358815746,-448.2631358815746,-448.2631358815746,-448.2631358815746,0.0,0.0,0.0,99871.38862636802
2025-05-18,100642.45679734947,94094.27764474748,106892.59233149368,100642.45679734947,100642.45679734947,-209.42482426389589,-209.42482426389589,-209.42482426389589,-209.42482426389589,-209.42482426389589,-209.42482426389589,0.0,0.0,0.0,100433.03197308557
