open_time,open,high,low,close,volume_coin,volume_usd,num_trades,close_time
2025-10-19 00:00:00+00:00,107185.0,109450.07,106103.36,108642.78,15480.66423,1670074079.5802343,3205640,2025-10-19 23:59:59.999000+00:00
2025-10-20 00:00:00+00:00,108642.77,111705.56,107402.52,110532.09,19193.4416,2119912185.5934682,4283542,2025-10-20 23:59:59.999000+00:00
2025-10-21 00:00:00+00:00,110532.09,114000.0,107473.72,108297.67,37228.01659,4114477849.932054,6004063,2025-10-21 23:59:59.999000+00:00
2025-10-22 00:00:00+00:00,108297.66,109163.88,106666.69,107567.44,28610.78451,3090291706.4439816,5547903,2025-10-22 23:59:59.999000+00:00
2025-10-23 00:00:00+00:00,107567.45,111293.61,107500.0,110078.18,17573.09294,1924582289.411394,3721614,2025-10-23 23:59:59.999000+00:00
2025-10-24 00:00:00+00:00,110078.19,112104.98,109700.01,111004.89,15005.16913,1662806764.9533324,3241022,2025-10-24 23:59:59.999000+00:00
2025-10-25 00:00:00+00:00,111004.9,111943.19,110672.86,111646.27,6407.96864,714201332.9751225,1238199,2025-10-25 23:59:59.999000+00:00
2025-10-26 00:00:00+00:00,111646.27,115466.8,111260.45,114559.4,13454.47737,1525108635.874829,2463951,2025-10-26 23:59:59.999000+00:00
2025-10-27 00:00:00+00:00,114559.41,116400.0,113830.01,114107.65,21450.23241,2470872744.5489683,3660488,2025-10-27 23:59:59.999000+00:00
2025-10-28 00:00:00+00:00,114107.65,116086.0,112211.0,112898.45,15523.42257,1772753529.8642743,3829845,2025-10-28 23:59:59.999000+00:00
2025-10-29 00:00:00+00:00,112898.44,113643.73,109200.0,110021.29,21079.71376,2356715986.5335455,4481480,2025-10-29 23:59:59.999000+00:00
2025-10-30 00:00:00+00:00,110021.3,111592.0,106304.34,108322.88,25988.82838,2827221287.4227977,6373451,2025-10-30 23:59:59.999000+00:00
2025-10-31 00:00:00+00:00,108322.87,111190.0,108275.28,109608.01,21518.20439,2361590437.9414105,5256872,2025-10-31 23:59:59.999000+00:00
2025-11-01 00:00:00+00:00,109608.01,110564.49,109394.81,110098.1,7378.50431,812389216.4346797,1994214,2025-11-01 23:59:59.999000+00:00
2025-11-02 00:00:00+00:00,110098.1,111250.01,109471.34,110540.68,12107.00087,1336870531.1415012,2652188,2025-11-02 23:59:59.999000+00:00
2025-11-03 00:00:00+00:00,110540.69,110750.0,105306.56,106583.04,28681.18779,3076006652.0015674,7074546,2025-11-03 23:59:59.999000+00:00
2025-11-04 00:00:00+00:00,106583.05,107299.0,98944.36,101497.22,50534.87376,5197697635.212413,9099609,2025-11-04 23:59:59.999000+00:00
2025-11-05 00:00:00+00:00,101497.23,104534.74,98966.8,103885.16,33778.77571,3454273922.700385,6500368,2025-11-05 23:59:59.999000+00:00
2025-11-06 00:00:00+00:00,103885.16,104200.0,100300.95,101346.04,25814.62139,2641767846.305827,5755001,2025-11-06 23:59:59.999000+00:00
2025-11-07 00:00:00+00:00,101346.04,104096.36,99260.86,103339.08,32059.50942,3251112979.305884,6335759,2025-11-07 23:59:59.999000+00:00
2025-11-08 00:00:00+00:00,103339.09,103406.22,101454.0,102312.94,12390.77985,1267165565.3752701,2743819,2025-11-08 23:59:59.999000+00:00
2025-11-09 00:00:00+00:00,102312.95,105495.62,101400.0,104722.96,16338.97096,1687020822.3668208,3404204,2025-11-09 23:59:59.999000+00:00
2025-11-10 00:00:00+00:00,104722.95,106670.11,104265.02,106011.13,22682.25673,2400141664.389342,4710957,2025-11-10 23:59:59.999000+00:00
2025-11-11 00:00:00+00:00,106011.13,107500.0,102476.09,103058.99,24196.50718,2532279071.0069213,5532149,2025-11-11 23:59:59.999000+00:00
